SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
GAZC,TQBR,ГАЗКОН-ао,659.0,10,10.0,A,Т+: Акции и ДР - безадрес.,0,ГАЗКОН (ПАО) ао,,FNDT,EQIN,,1.0,659.0,SUR,2024-07-12,225381601,RU000A0JQG86,Gazkon ao,1-01-09870-A,659.0,SUR,1,3,2024-07-16
GAZP,TQBR,ГАЗПРОМ ао,119.65,10,5.0,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,119.99,SUR,2024-07-12,23673512900,RU0007661625,Gazprom,1-02-00028-A,119.4,SUR,1,1,2024-07-16
GAZS,TQBR,ГАЗ-сервис,839.0,10,10.0,A,Т+: Акции и ДР - безадрес.,0,ГАЗ-сервис (ПАО) ао,,FNDT,EQIN,,1.0,839.0,SUR,2024-07-12,206508967,RU000A0JQG78,Gaz-servis ao,1-01-09871-A,839.0,SUR,1,3,2024-07-16
GAZT,TQBR,ГАЗ-Тек ао,1739.0,10,100.0,A,Т+: Акции и ДР - безадрес.,1,ГАЗ-Тек ПАО ао,,FNDT,EQIN,,0.5,1739.0,SUR,2024-07-12,471428300,RU000A0JS199,GAZ-Tek PAO ao,1-01-12996-A,1739.0,SUR,1,3,2024-07-16
GCHE,TQBR,ЧеркизГ-ао,4444.0,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Группа Черкизово ПАО-ао,,FNDT,EQIN,,0.5,4469.0,SUR,2024-07-12,42222042,RU000A0JL4R1,Cherkizovo Group ao,1-02-10797-A,4444.0,SUR,1,3,2024-07-16
GECO,TQBR,iГЕНЕТИКО,33.55,10,0.01,A,Т+: Акции и ДР - безадрес.,2,ЦГРМ ГЕНЕТИКО ао,,FNDT,EQIN,,0.01,34.12,SUR,2024-07-12,83000000,RU000A105BN4,GENETICO,1-01-87198-H,33.55,SUR,1,3,2024-07-16
GEMA,TQBR,iММЦБ ао,146.0,10,0.01,A,Т+: Акции и ДР - безадрес.,2,ПАО ММЦБ ао,,FNDT,EQIN,,0.05,146.35,SUR,2024-07-12,14929920,RU000A100GC7,IMCB PJSC,1-01-85932-H,146.0,SUR,1,3,2024-07-16
GEMC,TQBR,МКПАО ЮМГ,667.4,1,0.03721404,A,Т+: Акции и ДР - безадрес.,1,Юнайтед Медикал Груп ПАО,,FNDT,EQIN,,0.1,673.8,SUR,2024-07-12,90000000,RU000A107JE2,IPJSC UMG,1-01-16774-A,667.4,SUR,1,1,2024-07-16
GLTR,TQBR,GLTR-гдр,540.0,1,0.0,A,Т+: Акции и ДР - безадрес.,2,ГДР Globaltrans Invest ORD SHS,,FNDT,EQIN,,0.05,537.6,USD,2024-07-12,0,US37949E2046,GDR Globaltrans Inves ORD SHS,,536.0,SUR,D,1,2024-07-16
GMKN,TQBR,ГМКНорНик,125.26,10,0.01,A,Т+: Акции и ДР - безадрес.,2,"ГМК ""Нор.Никель"" ПАО ао",,FNDT,EQIN,,0.02,124.98,SUR,2024-07-12,15286339700,RU0007288411,NorNickel GMK,1-01-40155-F,125.54,SUR,1,1,2024-07-16
